System Name,Current Advisory,Advisory Start Date,Reason(s) for Advisory,Population served,Phone Number,Website
Ashton Creek Christian Fellowship WS,Boil Water Notice,12/9/2016,Unapproved water supply system or construction works; Unacceptable water quality results (microbiological),80,(250) 803-8555,N/A
Ashton Creek General Store Water System,No Water Advisory,N/A,,50,(250) 838-2122,N/A
Ayesha Mosque Water System,Boil Water Notice,10/9/2015,Untreated drinking water at risk of containing pathogens,30,(250) 377-7477,N/A
B. and D. Mobile Home Park,No Water Advisory,N/A,,30,(250) 838-7670,N/A
BC Brine Water System,No Water Advisory,N/A,,null,(250) 938-3306,N/A
Baccata Ridge Winery Water System,No Water Advisory,N/A,,50,(250) 309-0629,N/A
Baerg Creek Dam Water Users,Boil Water Notice,4/1/2004,Untreated drinking water at risk of containing pathogens; positive Total Coliform lab result; positive E. Coli lab result; Source water quality deterioration or contamination,60,(250) 265-3325,N/A
Bagley Creek Water Users Community,Boil Water Notice,2/1/2023,Untreated drinking water at risk of containing pathogens,75,(250) 229-5213,N/A
Baldface Lodge Water System,No Water Advisory,N/A,,50,(250) 352-0006,N/A
Balfour Resort & Marina,No Water Advisory,N/A,,200,(403) 998-3104,N/A
Balfour Water Service,No Water Advisory,N/A,,813,(250) 352-6665,http://www.rdck.ca/EN/main/services/water/rdck-water-systems/balfour-water-system.html
Bear Creek Park Water System,No Water Advisory,N/A,,1586,(250) 260-3590,N/A
Bear Springs Water System ,Boil Water Notice,6/14/2023,Unapproved water supply system or construction works; Insufficient treatment or disinfection residual; Untreated drinking water at risk of containing pathogens,null,(250) 359-7142,N/A
Beasley Fire Hall Water System,Boil Water Notice,3/3/2023,Untreated drinking water at risk of containing pathogens,100,(250) 352-6665,www.rdck.ca
Beasley Water Users Community,Boil Water Notice,1/23/2023,Insufficient treatment or disinfection residual,60,(250) 359-7427,N/A
Beast and Block Water System,No Water Advisory,N/A,,null,(250) 550-8507,N/A
Beaver Lake Lodge Water System,No Water Advisory,N/A,,100,(250) 762-2225,N/A
Beaver Lake Source Water Supply System,Water Quality Advisory,5/29/2019,Excessive turbidity compromising treatment and water quality; Chemical and physical water quality parameters in excess of acceptable concentrations,3600,(250) 766-5650,www.lakecountry.bc.ca/en/living-in-our-community/utilities.aspx
Benedict Well,No Water Advisory,N/A,,50,(250) 226-7876,N/A
Benvoulin Farm WS,No Water Advisory,N/A,,null,(250) 764-8889,N/A
Bertram Creek Park Water System,No Water Advisory,N/A,,50,(250) 868-5232,N/A
Big White Water Utility - Main,No Water Advisory,N/A,,0,(250) 491-6167,https://www.bigwhite.com/
Big White Water Utility - New Shop,No Water Advisory,N/A,,0,(250) 491-6167,https://www.bigwhite.com/
Big White Water Utility - Westridge,No Water Advisory,N/A,,0,(250) 491-6167,https://www.bigwhite.com/geo/kel
Birch Grove Campground,Boil Water Notice,1/1/1992,Source water quality deterioration or contamination; Inadequate operations and maintenance; positive Total Coliform lab result; Untreated drinking water at risk of containing pathogens,150,(250) 229-4275,N/A
Birchdale Par 3 Golf Water System,Boil Water Notice,5/9/2013,Unacceptable water quality results (microbiological),50,(250) 838-7740,N/A
Bix Beef Water System,Water Quality Advisory,12/20/2018,Chemical and physical water quality parameters in excess of acceptable concentrations,50,(250) 457-6245,N/A
Black Mountain Irrigation District,No Water Advisory,N/A,,22550,(250) 765-5169,www.bmid.ca
Blaylock Condo's Water System,No Water Advisory,N/A,,150,(250) 825-4627,N/A
Blaylock Resort & Health Spa,No Water Advisory,N/A,,60,(250) 825-2200,N/A
Blewett Elementary School WS (0211275),Boil Water Notice,5/3/2021,Unacceptable water quality results (microbiological),200,(250) 354-4871,N/A
Blewett Fire Department Water System,Boil Water Notice,3/3/2023,Untreated drinking water at risk of containing pathogens,150,(250) 352-6665,www.rdck.ca
Blue Bunch Farm Water System,No Water Advisory,N/A,,2,(250) 826-2811,N/A
Blue Sky Resort,No Water Advisory,N/A,,50,(250) 358-2362,N/A
Bluedeer Lodge Water System,Boil Water Notice,7/27/2022,Source water quality deterioration or contamination; Untreated drinking water at risk of containing pathogens; Inadequate operations and maintenance,100,(780) 436-0404,N/A
Bolean Lake Resort Water System,Boil Water Notice,8/11/2008,Untreated drinking water at risk of containing pathogens,45,(250) 317-9043,http://boleanlake.net/
Bonaventure Trailer Park Water System,Boil Water Notice,5/12/2017,Untreated drinking water at risk of containing pathogens; Unacceptable water quality results (microbiological),150,(250) 551-3969,N/A
Bonnington Improvement District,No Water Advisory,N/A,,400,(250) 359-7602,https://www.bonningtonwater.ca/
Bourke Creek Improvement District,No Water Advisory,N/A,,120,(250) 825-4534,N/A
Braeloch Water Users,No Water Advisory,N/A,,60,(778) 477-0032,N/A
Brandon Waterworks District,Boil Water Notice,4/1/2003,positive Total Coliform lab result; Source water quality deterioration or contamination; Untreated drinking water at risk of containing pathogens,40,(250) 355-2698,N/A
Brenda Mines - Compost Facility,No Water Advisory,N/A,,null,N/A,N/A
Brent Kennedy Elementary School WS (0211276),Do Not Consume,5/29/2017,Untreated drinking water at risk of containing pathogens,250,(250) 551-5854,N/A
Brierwood Estates Strata Development,Boil Water Notice,7/9/2021,Unacceptable water quality results (microbiological),100,(250) 354-4225,N/A
Brilliant Dam & Generating Station,No Water Advisory,N/A,,30,(250) 304-6020,N/A
Brilliant Expansion Generating Station Water System,No Water Advisory,N/A,,30,(250) 359-0791 x 421,N/A
Brookmere Water System,Boil Water Notice,1/1/1990,Untreated drinking water at risk of containing pathogens,120,(250) 315-1059,N/A
Burton Water Service,Water Quality Advisory,1/12/2017,Unacceptable water quality results (microbiological),250,(250) 352-6665,https://rdck.ca/EN/main/services/water/rdck-water-systems/burton-water-system.html
Caliente Lakeside Resort,No Water Advisory,N/A,,66,(250) 318-6133,N/A
Cambie Hall Water System,No Water Advisory,N/A,,0,(403) 975-0646,N/A
Camel's Hump Guest Ranch Inc,No Water Advisory,N/A,,null,(780) 512-3719,N/A
Cameron Point Water System,Water Quality Advisory,5/8/2023,Excessive turbidity compromising treatment and water quality,30,(250) 549-0501,N/A
Camp Arbuckle Water System,Boil Water Notice,9/2/2022,Unacceptable water quality results (microbiological),100,(250) 766-1229,N/A
Camp Boyle Water System,Water Quality Advisory,1/16/2018,Chemical and physical water quality parameters in excess of acceptable concentrations,150,(250) 490-6863,N/A
Camp Dunlop Water System,Boil Water Notice,11/8/2016,Unacceptable water quality results (microbiological),70,(250) 764-7646,N/A
Camp Koolaree WS,No Water Advisory,N/A,,50,(250) 365-8100,N/A
Camp Okanagan Resort Water System,No Water Advisory,N/A,,80,(778) 214-1414,N/A
Camp Tillicum Water System,No Water Advisory,N/A,,75,(778) 583-3324,N/A
Camp Valhalla WS,Boil Water Notice,6/7/2012,positive E. Coli lab result; Source water quality deterioration or contamination; positive Total Coliform lab result; Untreated drinking water at risk of containing pathogens,100,(250) 231-4454,N/A
Canadian Lakeview Estates Water System,Water Quality Advisory,5/31/2023,Excessive turbidity compromising treatment and water quality,700,(778) 214-4920,www.corix.com/canadian-lakeview-estates
CannGroup Development Corp WS,No Water Advisory,N/A,,20,(604) 313-7631,N/A
CannaWorks Facility System,No Water Advisory,N/A,,40,(604) 377-9487,N/A
Canoe Point Orchard Water System,No Water Advisory,N/A,,84,(250) 835-4314,N/A
Canyon Waterworks District,Water Quality Advisory,10/16/2020,Chemical and physical water quality parameters in excess of acceptable concentrations,120,(250) 546-6004,N/A
Caravan Farm Theatre Water System,Water Quality Advisory,6/9/2022,Chemical and physical water quality parameters in excess of acceptable concentrations,0,(250) 546-8533,https://caravanfarmtheatre.com/
Carmel of St. Joseph Monastery Water System,No Water Advisory,N/A,,12,(250) 546-8801,http://carmelspall.org/
Casa Loma Water Utility,No Water Advisory,N/A,,450,(250) 860-3669,N/A
Cedar Falls Campground  Water System,No Water Advisory,N/A,,0,(250) 864-4478,http://cedarfalls.ca/
Cedar Glen Mobile Home Park Water System,Boil Water Notice,4/1/1992,positive Total Coliform lab result; Source water quality deterioration or contamination; Untreated drinking water at risk of containing pathogens; Routine maintenance and planned works,60,(250) 505-3381,N/A
Cedar Park TPC Water System,No Water Advisory,N/A,,0,(250) 542-3555,N/A
Ceres Ridge Farm Water System,No Water Advisory,N/A,,50,(250) 359-0155,N/A
Chataway Lakes Resort Water System,Boil Water Notice,9/16/2010,Untreated drinking water at risk of containing pathogens,36,(778) 786-8820,www.chatawaylakes.com
Chateau Village Water System,No Water Advisory,N/A,,60,(778) 708-0196,N/A
Cherry Creek Mobile Home Park Water System,Boil Water Notice,5/19/2023,Unacceptable water quality results (microbiological),99,(250) 851-3684,N/A
Cherryville Community Hall Water System,No Water Advisory,N/A,,50,(250) 547-6679,N/A
Cherryville Elementary School,No Water Advisory,N/A,,92,(250) 547-6163,http://www.cherryville.net/school.html
Cherryville Emporium Water System,Boil Water Notice,11/4/2021,Untreated drinking water at risk of containing pathogens,50,(250) 938-7555,N/A
Cherryville Golf & RV Park,No Water Advisory,N/A,,100,(250) 868-1709,https://www.cherryvillervgolfandroadhousecafe.com/
Church of God In Christ Mennonite Water System,No Water Advisory,N/A,,200,(250) 838-6063,N/A
Chute Lake Lodge Water System,Boil Water Notice,4/23/2019,Untreated drinking water at risk of containing pathogens,150,(250) 809-9129, 
Cinnabar Creek Water Utilities,Boil Water Notice,8/31/2016,Unacceptable water quality results (microbiological),20,(250) 769-4128,N/A
City of Armstrong Water System,No Water Advisory,N/A,,6300,(250) 546-3023,www.cityofarmstrong.bc.ca
City of Kelowna Waterworks,No Water Advisory,N/A,,68077,(250) 469-8502,www.kelowna.ca
City of Nelson Water System,No Water Advisory,N/A,,10300,(250) 352-5511,https://www.nelson.ca/
Clayton Creek Improvement District,Boil Water Notice,4/1/1992,positive E. Coli lab result; Untreated drinking water at risk of containing pathogens; Source water quality deterioration or contamination; positive Total Coliform lab result,60,(647) 983-9892,N/A
Club Mara Resort Water System,No Water Advisory,N/A,,250,(250) 838-6226,N/A
Coast Mountainview Trailer Park Water System,Boil Water Notice,4/7/2022,Water treatment equipment failure,0,(604) 838-8259,N/A
Coldstream Utilities Water System,No Water Advisory,N/A,,15,(778) 470-3444,N/A
Coldwater Highways Yard Water System,No Water Advisory,N/A,,18,(250) 315-0166,N/A
Compressor Station CS8A,No Water Advisory,N/A,,2,(250) 373-7017,N/A
Coral Beach Water System,No Water Advisory,N/A,,153,(250) 766-5650,www.lakecountry.bc.ca/en/living-in-our-community/utilities.aspx
Corbett Lake Lodge Water System,No Water Advisory,N/A,,36,(250) 378-1313,N/A
Corix Multi-Utility Services Inc - Okanagan Landing Utilities,No Water Advisory,N/A,,200,(250) 377-7757,www.corix.com
Country View Estates Water System,No Water Advisory,N/A,,200,(250) 491-4604,N/A
Countryside Mobile Manor Water System,No Water Advisory,N/A,,300,(250) 832-9577,N/A
Countryview Estates Mobile Home Park WS,No Water Advisory,N/A,,165,(250) 851-9310,N/A
Coutts Creek Watershed,Boil Water Notice,2/1/2019,Insufficient treatment or disinfection residual; Unacceptable water quality results (microbiological); Unapproved water supply system or construction works; Untreated drinking water at risk of containing pathogens,200,(250) 551-1254,N/A
Cozy Cabins - Water System,No Water Advisory,N/A,,0,(250) 547-6201,https://www.cozycabins.ca/
Cranmer Spring Water System,Do Not Consume,3/16/2020,Chemical and physical water quality parameters in excess of acceptable concentrations,26,(250) 862-1729,N/A
Creekside Mobile Home Park Water System,No Water Advisory,N/A,,100,(250) 838-0370,N/A
Crescent Beach Resort 2 WS,Boil Water Notice,5/6/2021,Unacceptable water quality results (microbiological),100,(403) 608-4998,N/A
Crescent Beach Resort Water System,Boil Water Notice,10/28/2018,Unacceptable water quality results (microbiological),100,(250) 505-6079,N/A
Crescent Valley Hall Water System,No Water Advisory,N/A,,150,(250) 359-8195,N/A
Crown Villa Mobile Home Park,No Water Advisory,N/A,,40,(250) 545-1658,N/A
Crystal Sands Resort Water System,No Water Advisory,N/A,,275,(250) 838-7769,https://www.crystalsands.ca
Crystal Springs Water Users,Boil Water Notice,1/1/1992,positive Total Coliform lab result; Untreated drinking water at risk of containing pathogens; positive E. Coli lab result; Source water quality deterioration or contamination,100,(250) 509-0449,N/A
Dandy Meats Water System,No Water Advisory,N/A,,0,(250) 577-3810,N/A
Davara Holdings Water System,Water Quality Advisory,12/9/2020,Chemical and physical water quality parameters in excess of acceptable concentrations,30,(250) 868-4968,N/A
DeRosa Cut & Wrap WS,No Water Advisory,N/A,,50,(250) 359-8054,N/A
Dee Lake Resort Water System,Boil Water Notice,3/31/1998,Untreated drinking water at risk of containing pathogens; positive Total Coliform lab result,175,(250) 212-2129,N/A
Del Oro Community Water System,Boil Water Notice,5/5/2023,Excessive turbidity compromising treatment and water quality,105,(250) 377-8673,N/A
Delcliffe Waterworks,No Water Advisory,N/A,,120,(250) 550-3700,N/A
Dewers Spring Water System,Boil Water Notice,1/1/2005,Untreated drinking water at risk of containing pathogens; positive Total Coliform lab result,14,(250) 307-5271,N/A
District of Sicamous - Mara Lake,No Water Advisory,N/A,,2441,(250) 836-2477,https://www.sicamous.ca/
Dog Creek Water Users Community,Boil Water Notice,11/28/2022,Insufficient treatment or disinfection residual,50,(250) 265-9551,N/A
Dominic Lake Resort,Boil Water Notice,10/9/2015,Untreated drinking water at risk of containing pathogens,42,(306) 373-7344,N/A
Don-O-Ray Processing/Residence,No Water Advisory,N/A,,45,(250) 575-3839,N/A
Don-O-Ray Vegetables Water System,No Water Advisory,N/A,,6,(250) 860-2557,N/A
Double V.M. Bible Camp Water System,No Water Advisory,N/A,,60,(250) 503-7700,N/A
Douglas Lake Cattle Company Home Ranch System,No Water Advisory,N/A,,120,(250) 350-3344,N/A
Duhamel Store Water System,No Water Advisory,N/A,,50,(250) 825-4645,N/A
Duhamel Water System,No Water Advisory,N/A,,300,(250) 352-6665,https://rdck.ca/EN/main/services/water/rdck-water-systems/duhamel-water-system.html
Eagle Creek Water Users Community,Boil Water Notice,4/1/1992,positive Total Coliform lab result; Source water quality deterioration or contamination; positive E. Coli lab result; Untreated drinking water at risk of containing pathogens,40,(250) 352-3674,N/A
Eagle Rock Local Area Service,No Water Advisory,N/A,,0,(250) 546-3484,N/A
Eagle Rock Mobile Home and RV Park Water System,No Water Advisory,N/A,,85,(250) 540-5525,N/A
Eagleview Golf Course,No Water Advisory,N/A,,200,(250) 368-6322,N/A
Eastside Water Utility,No Water Advisory,N/A,,350,(250) 870-6829,N/A
Echo Lake Resort Water System,No Water Advisory,N/A,,100,(250) 547-6434,https://echolakeresort.ca/
Echo Valley Farm,No Water Advisory,N/A,,5,(250) 547-6394,N/A
Edge of the Earth Vineyard WS,No Water Advisory,N/A,,50,(250) 546-2164,N/A
Edgewood Water Service,No Water Advisory,N/A,,300,(250) 352-6665,https://rdck.ca/EN/main/services/water/rdck-water-systems/edgewood-water-system.html
Elkhart Station WS,Boil Water Notice,4/29/2022,Unapproved water supply system or construction works,null,(778) 895-6358,N/A
Ellison Provincial Park Water System,Boil Water Notice,6/22/2023,Unacceptable water quality results (microbiological),480,(250) 260-3590,https://bcparks.ca/explore/parkpgs/ellison/
Enderby Municipal Water System,No Water Advisory,N/A,,3100,(250) 838-7230,https://www.cityofenderby.com/
Endless Adventures Water System,No Water Advisory,N/A,,0,(250) 608-1579,N/A
Evergreen Natural Foods WS,No Water Advisory,N/A,,50,(250) 359-7323,N/A
Fairhaven Water System,No Water Advisory,N/A,,50,(250) 260-1616,N/A
Faith Mission Retreat Centre Water System,No Water Advisory,N/A,,50,(250) 379-2422,N/A
Falcon Ridge Water System,Water Quality Advisory,5/8/2023,Excessive turbidity compromising treatment and water quality,165,(250) 469-6237,http://www.regionaldistrict.com/water
Falkland Water System,No Water Advisory,N/A,,541,(250) 832-8194,https://www.csrd.bc.ca/services/water/falkland-waterworks
Fallen Rock Subdivision Water Utility Society,No Water Advisory,N/A,,120,(250) 836-2599,N/A
Family Tree Riverside RV & Campground Water System,No Water Advisory,N/A,,150,(250) 836-2583,N/A
Farmer John's Market Water System,No Water Advisory,N/A,,50,(250) 838-7086,N/A
Farmstrong Barnyard Well,No Water Advisory,N/A,,null,(250) 309-2609,N/A
Faulder Community Water System,Water Quality Advisory,5/23/2023,Chemical and physical water quality parameters in excess of acceptable concentrations,210,(250) 492-0237,www.rdos.bc.ca
Fauquier Water Service,Water Quality Advisory,5/1/2023,Excessive turbidity compromising treatment and water quality,200,(250) 352-6665,https://rdck.ca/EN/main/services/water/rdck-water-systems/fauquier-water-system.html
Fintry Provincial Park Water System,No Water Advisory,N/A,,826,(250) 260-3590,N/A
Fintry Utilities Limited,No Water Advisory,N/A,,200,(250) 542-4529,N/A
First Rights Wilson Creek,Boil Water Notice,3/29/2023,Untreated drinking water at risk of containing pathogens; Inadequate operations and maintenance,30,(250) 352-3626,N/A
Fomi's Bakery,No Water Advisory,N/A,,50,(250) 226-7186,N/A
Forest Grove Fas Gas Water System,Boil Water Notice,10/21/2022,Unacceptable water quality results (microbiological),50,(250) 838-6021,N/A
Forest Grove Mobile Home Park,No Water Advisory,N/A,,170,(250) 838-6041,N/A
"Forests, Lands and Natural Resource Operations Water System",No Water Advisory,N/A,,50,(888) 222-3112,N/A
Forgotten Hill Water System,No Water Advisory,N/A,,50,(250) 496-0044,N/A
Fortis BC - Corra Linn Power Plant,No Water Advisory,N/A,,30,(250) 304-1440,N/A
Fortis BC - Lower Bonnington Power Plant,No Water Advisory,N/A,,30,(250) 304-1440,N/A
Fortis BC - Rover Creek,No Water Advisory,N/A,,30,(250) 304-1440,N/A
Fortis BC - Upper Bonnington Power Plant,No Water Advisory,N/A,,30,(250) 304-1440,N/A
Fortis BC - Upper Bonnington Well,No Water Advisory,N/A,,30,(250) 304-1440,N/A
Foster Creek Water Users' Community,Water Quality Advisory,11/30/2021,Chemical and physical water quality parameters in excess of acceptable concentrations,34,(250) 551-5215,N/A
Foxtrot Campground Water System,No Water Advisory,N/A,,null,N/A,N/A
Frank's General Store W/S,Boil Water Notice,10/11/2013,Untreated drinking water at risk of containing pathogens,50,(250) 547-2272,N/A
Friesen's Water Supply,Boil Water Notice,4/1/2019,Inadequate operations and maintenance; Untreated drinking water at risk of containing pathogens,25,(250) 832-3829,N/A
Fritz's Bakery WS,No Water Advisory,N/A,,null,(250) 808-5411,N/A
Frog Peak Cafe Water System,No Water Advisory,N/A,,50,(250) 359-7261,N/A
Galena Lodge Water System,No Water Advisory,N/A,,50,(403) 762-7100,N/A
Galena Shores Waterworks,No Water Advisory,N/A,,210,(250) 832-8194,N/A
Gardiner Lake Mobile Home Park Water System,No Water Advisory,N/A,,45,(250) 803-3449,N/A
Gardom Lake Bible Camp,No Water Advisory,N/A,,160,(250) 838-6645,N/A
Georama Road Water Users Community,Boil Water Notice,5/31/2005,positive Total Coliform lab result; Untreated drinking water at risk of containing pathogens; Source water quality deterioration or contamination; Inadequate operations and maintenance,120,(250) 505-3249,N/A
Glade Irrigation District Water System,Boil Water Notice,5/31/2011,positive E. Coli lab result; positive Total Coliform lab result; Untreated drinking water at risk of containing pathogens; Source water quality deterioration or contamination,300,(250) 304-3268,https://gladewater.weebly.com/
Glade Water Improvement Society,No Water Advisory,N/A,,60,(250) 399-4213,N/A
Glenmore Ellison Improvement District,No Water Advisory,N/A,,22670,(250) 763-6506,www.glenmoreellison.com/
Glimpse Lake Ranch Residences Strata A,No Water Advisory,N/A,,9,(250) 371-7664,N/A
Glimpse Lake Ranch Residences Strata B,No Water Advisory,N/A,,12,(250) 371-7664,N/A
Gold Panner Campground,No Water Advisory,N/A,,100,(250) 463-4653,N/A
Golden Quill Strata KAS2188 Water System,No Water Advisory,N/A,,120,(250) 578-7829,N/A
Gostlin Keefer Lake Lodge Catskiing WS,No Water Advisory,N/A,,50,(778) 212-4206,N/A
Goudie Road Fire Hall - Non Potable Water System,Boil Water Notice,1/1/2004,Unacceptable water quality results (microbiological),10,(250) 868-5232,N/A
Grandview Improvement District Water System,No Water Advisory,N/A,,220,(250) 542-5623,N/A
Grandview Water System,No Water Advisory,N/A,,200,(250) 352-6665,https://rdck.ca/EN/main/services/water/rdck-water-systems/grandview-properties.html
Great Northern Snowcat Skiing Water System,No Water Advisory,N/A,,50,(403) 688-5977,N/A
Greata Ranch Vineyards Water System,No Water Advisory,N/A,,60,(250) 767-2768,N/A
Greater Vernon Recycling and Disposal Facility Water System,No Water Advisory,N/A,,10,(250) 545-6410,N/A
Greater Vernon Water Utility,Water Quality Advisory,6/9/2023,Advisory limited to part of system ; Routine maintenance and planned works,53000,(250) 550-3700,http://www.rdno.ca/index.php/services/utilities/greater-vernon-water
Greek House Restaurant WS,No Water Advisory,N/A,,50,(250) 766-0367,N/A
Green Light Solutions WS,No Water Advisory,N/A,,null,(250) 354-8065,N/A
Greenwood Mobile Home Park Water System,No Water Advisory,N/A,,150,(250) 505-7983,N/A
Greystokes Improvement District Water System,No Water Advisory,N/A,,70,(250) 765-6135,N/A
Grindrod Water System,No Water Advisory,N/A,,350,(250) 550-3700,N/A
Grohman Mini Storage Water System,No Water Advisory,N/A,,null,(250) 505-3681,N/A
Halcyon Hot Springs WS,No Water Advisory,N/A,,300,(250) 265-3554,http://halcyon-hotsprings.com/
Hankey Municipal S.W.U.,No Water Advisory,N/A,,24,(250) 546-3013,N/A
Happy Days Goat Dairy,No Water Advisory,N/A,,50,(250) 832-0209,N/A
Harper Mountain Lodge Water System,No Water Advisory,N/A,,200,(250) 319-5855,N/A
Harper's Trail Estate Winery Water System,No Water Advisory,N/A,,50,(250) 573-5855,N/A
Hatheume Lake Resort Water System,No Water Advisory,N/A,,69,(250) 469-9600,N/A
Headwaters Family Camp,Boil Water Notice,4/1/2005,Untreated drinking water at risk of containing pathogens,40,(250) 768-2787,N/A
Heddlestone Small Water Treatment Plant,No Water Advisory,N/A,,120,(250) 634-0846,N/A
Heritage Campsite & RV Park Water System,No Water Advisory,N/A,,91,(604) 864-4081,N/A
Highland Park Local Service Area,No Water Advisory,N/A,,136,(250) 546-3013,N/A
Highland Valley Copper,No Water Advisory,N/A,,500,(250) 575-2443,N/A
Highway 97C Loon Lake Rest Area,No Water Advisory,N/A,,300,(250) 315-0166,N/A
Horseshoe Motel Water System,No Water Advisory,N/A,,15,(250) 542-0669,N/A
Hummingbird Beach Resort Water System,Water Quality Advisory,6/9/2023,Excessive turbidity compromising treatment and water quality,0,(250) 836-3840,N/A
Hummingbird Farm Water Supply System,No Water Advisory,N/A,,null,(250) 226-6996,N/A
Idabel Lake Resort Water System,Boil Water Notice,2/18/2021,Unacceptable water quality results (microbiological); Insufficient treatment or disinfection residual,75,(250) 765-9511,N/A
In Your Face Foods Water System,No Water Advisory,N/A,,50,(250) 352-3636,N/A
Iron Mask Mobile Home Park Water System,No Water Advisory,N/A,,50,(250) 318-3461,N/A
Island View Strata Water System,Water Quality Advisory,12/24/2016,Chemical and physical water quality parameters in excess of acceptable concentrations,30,(250) 832-8744,N/A
JJ Family Farms Water System,No Water Advisory,N/A,,1,(250) 550-4511,N/A
Jandana Ranch Water System,No Water Advisory,N/A,,24,(250) 573-5800,N/A
Jarvis Creek Water Users,Boil Water Notice,1/1/1992,Inadequate operations and maintenance; Untreated drinking water at risk of containing pathogens,50,(250) 352-0722,N/A
Jealous Fruits Ltd.,Boil Water Notice,7/8/2022,Unacceptable water quality results (microbiological),25,(250) 766-5393,N/A
Jennens Road Water System,No Water Advisory,N/A,,45,(250) 768-5433,N/A
Joe Rich Fire Hall Water System,Boil Water Notice,1/1/2004,positive Total Coliform lab result; Untreated drinking water at risk of containing pathogens,10,(250) 763-4918,N/A
Juniper Beach Provincial Park,No Water Advisory,N/A,,96,(250) 371-6256,N/A
KRRC Trailer Water Supply,No Water Advisory,N/A,,5,(250) 828-3647,N/A
Kal Pine Water Utility Ltd.,No Water Advisory,N/A,,154,(250) 548-4064,N/A
Kalamalka Park Estates Water System,No Water Advisory,N/A,,24,(250) 308-9368,N/A
Kalwood Farms Water System,No Water Advisory,N/A,,40,(250) 833-5810,N/A
Kam Lake View Meats Water System,No Water Advisory,N/A,,50,(250) 828-1015,N/A
Kamloops Main Community Water System,No Water Advisory,N/A,,87000,(250) 828-3311,https://www.kamloops.ca/city-services/water-sewage-treatment
Kamloops Sewage Treatment Centre Administration Building,No Water Advisory,N/A,,5,(250) 828-3461,N/A
Kangaroo Creek Farm Water System (Sanitation Only),No Water Advisory,N/A,,null,(250) 869-2709,N/A
Karibu Park Water System,No Water Advisory,N/A,,200,(250) 226-7306,N/A
Keekwillie Water System 1998,Boil Water Notice,6/1/2017,Unacceptable water quality results (microbiological); Untreated drinking water at risk of containing pathogens,54,(250) 573-3047,N/A
Kekuli Bay Estates Water System,No Water Advisory,N/A,,55,(250) 541-0932,N/A
Kekuli Bay Provincial Park Water System,No Water Advisory,N/A,,342,(250) 260-3590,N/A
Kelly's Russian Foods WS,No Water Advisory,N/A,,2,(250) 226-7357,N/A
Kelowna Fruit Stand Water System,No Water Advisory,N/A,,0,(250) 485-7717,N/A
Kelowna Mountain Welcome Centre,No Water Advisory,N/A,,100,(250) 300-6275,N/A
Kelowna View Water Users Community,No Water Advisory,N/A,,14,(250) 864-3273,N/A
Kentucky Alleyne Provincial Park Campground Water System,Boil Water Notice,8/27/2021,Unacceptable water quality results (microbiological),174,(250) 260-3590,N/A
Kentucky Alleyne Provincial Park Group Site Water System,No Water Advisory,N/A,,10,(250) 371-6200,N/A
Kernaghan Water Works,Boil Water Notice,7/26/2007,Untreated drinking water at risk of containing pathogens; positive E. Coli lab result,60,(250) 832-0531,N/A
Kerry & Margot Sawka Water System,No Water Advisory,N/A,,20,(250) 861-6815,N/A
Kickininee Provincial Park Water System,Boil Water Notice,7/9/2021,Unacceptable water quality results (microbiological),464,(250) 260-3590,N/A
Killiney Beach Water System,No Water Advisory,N/A,,570,(250) 469-6241,www.regionaldistrict.com/water
